"Supplier Site","Invoice No.","Invoice Status","Invoice Date","Invoice Type","Total Invoice Amount","Schedule Payment Amount","Balance Amount","Invoice Description","Payment Terms","Schedule Payment Date","Payment Hold","Payment Hold Reason","Payment Method","PO Number",
"27-SOLAPUR","9136","Never Validated","26-Apr-2023","Standard","          11,638.00","          11,638.00","          11,638.00","Party LR NO : 9136/Party LR Date : 06-APR-23","IMMEDIATE","26-Apr-2023","N","","CHECK","",
"27-SOLAPUR","9138","Never Validated","26-Apr-2023","Standard","          19,220.00","          19,220.00","          19,220.00","Party LR NO : 9138/Party LR Date : 06-APR-23","IMMEDIATE","26-Apr-2023","N","","CHECK","",
"27-SOLAPUR","9144","Never Validated","26-Apr-2023","Standard","          19,220.00","          19,220.00","          19,220.00","Party LR NO : 9144/Party LR Date : 09-APR-23","IMMEDIATE","26-Apr-2023","N","","CHECK","",
"27-SOLAPUR","9147","Never Validated","25-Apr-2023","Standard","          11,638.00","          11,638.00","          11,638.00","Party LR NO : 9147/Party LR Date : 11-APR-23","IMMEDIATE","25-Apr-2023","N","","CHECK","",
"27-SOLAPUR","9132","Never Validated","24-Apr-2023","Standard","          11,638.00","          11,638.00","          11,638.00","Party LR NO : 9132/Party LR Date : 03-APR-23","IMMEDIATE","24-Apr-2023","N","","CHECK","",
"27-SOLAPUR","9142","Never Validated","24-Apr-2023","Standard","           5,170.00","           5,170.00","           5,170.00","Party LR NO : 9142/Party LR Date : 07-APR-23","IMMEDIATE","24-Apr-2023","N","","CHECK","",
"27-SOLAPUR","9149","Never Validated","24-Apr-2023","Standard","           5,170.00","           5,170.00","           5,170.00","Party LR NO : 9149/Party LR Date : 12-APR-23","IMMEDIATE","24-Apr-2023","N","","CHECK","",
"27-SOLAPUR","9127","Never Validated","24-Apr-2023","Standard","          11,638.00","          11,638.00","          11,638.00","Party LR NO : 9127/Party LR Date : 01-APR-23","IMMEDIATE","24-Apr-2023","N","","CHECK","",
"27-SOLAPUR","9143-TDS-CM-4077129","Validated","21-Apr-2023","Credit Memo","            -116.38","            -116.38","            -116.38","9143-TDS-CM-4077129","IMMEDIATE","21-Apr-2023","N","","CHECK","",
"27-SOLAPUR","9141-TDS-CM-4077128","Validated","21-Apr-2023","Credit Memo","            -116.38","            -116.38","            -116.38","9141-TDS-CM-4077128","IMMEDIATE","21-Apr-2023","N","","CHECK","",
